id	origin	year	posdyear	negdyear	dating_meth	dyearCalc	month	day	hour	seq	prev	next	equal	lat	lon	site	location	country	orig_lon	merid	lon_ed	decl	ddecl	decl_meth	no_decl	decl_inst	inc	dinc	inc_meth	no_inc	inc_inst	k	a95	nosp_dir_meas	nosp_dir_acc	dir_analysis	inten	dinten	inten_code	cal	inten_meth	no_inten	inten_inst	nosp_inten_meas	nosp_inten_acc	alteration	coolingrate	anisotropy	MD_monitor	source	obs	comment	pubID	comp_id	ref1	ref2	flag	flag_comm	user_comment 
576	0	1907	0	0	Historical age									44.859	13.849		Pola	Croatia				-8.885		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
577	0	1907	0	0	Historical age									43.740	15.890		Sebenico	Croatia				-8.302		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
578	0	1907	0	0	Historical age									43.626	15.575		Eil. Lucietta	Croatia				-8.088		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
579	0	1907	0	0	Historical age									43.858	15.192		Klippe Tajer	Croatia				-8.333		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
580	0	1907	0	0	Historical age									44.153	14.829		Punte Biache	Croatia				-8.432		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
581	0	1907	0	0	Historical age									44.173	14.933		Tunveliki	Croatia				-8.59		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
582	0	1907	0	0	Historical age									44.056	15.109		Eso Ponentale	Croatia				-8.45		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
583	0	1907	0	0	Historical age									43.818	15.378		Eil. Zut	Croatia				-8.298		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
584	0	1907	0	0	Historical age									43.091	15.463		Eil. Pomo	Croatia				-6.733		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
585	0	1907	0	0	Historical age									43.024	15.764		San Andrea	Croatia				-7.815		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
586	0	1907	0	0	Historical age									42.391	16.258		Eil. Pelagosa	Croatia				-7.75		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
587	0	1907	0	0	Historical age									42.755	16.494		I. Cazza	Croatia				-7.55		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
588	0	1907	0	0	Historical age									43.058	16.188		Lissa	Croatia				-7.7		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
589	0	1907	0	0	Historical age									42.962	17.135		Curzola	Croatia				-7.503		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
590	0	1907	0	0	Historical age									42.655	18.079		Gravosa	Croatia				-7.168		reduced to 1907		theodolite Zschau-Bamberg																								navy survey	Kesslitz				Kesslitz, W.;1907;Bestimmungen der magnetischen Deklination im Österreichisch-Ungarischen Küstengebiete;Erdmagnetische Reisebeobachtungen;4	;;;;	0		
